GEOID,mail,youth,adult,latinx
6037190201,,16.84545325,6.846699106,6.670428274
6037191302,,14.47979275,7.29210582,6.80914516
6037183220,,10.4098584,7.580704122,7.745827385
6037195720,,7.914477521,9.26338603,7.667022352
6037197500,,5.743530989,5.495455365,4.754107474
6037141202,,4.164203177,3.911743179,3.898622605
6037139504,,2.299974543,8.834452925,8.720625984
6037192410,,9.011148942,6.781677987,7.240367245
6037143400,,4.429925658,4.448868303,5.042514055
6037143500,,7.077298947,7.370401773,8.065493829
6037183620,,5.857669567,8.007494651,7.838538304
6037183702,,5.471424464,6.38906829,6.29237023
6037237101,,24.87090516,15.11935344,19.85260562
6037187300,,4.12456254,6.840029411,6.241441932
6037183520,,7.991866466,8.027806486,7.611029258
6037139401,,4.496019602,8.440457941,9.838126742
6037139703,,2.710573827,3.86936887,5.386625269
6037139801,,2.862148151,5.041602143,5.863138605
6037228800,,9.35113232,9.105583254,11.60584397
6037121102,,8.07601457,8.143414664,10.37960458
6037115403,,4.226130653,5.163865546,6.152941176
6037189903,,14.53293057,8.915177184,8.659884789
6037143700,,9.608603099,8.613087355,9.523647641
6037143800,,4.455861522,5.966733576,6.098726354
6037185204,,6.521176333,6.358033207,6.696813735
6037186302,,5.996654658,9.120714642,9.379981385
6037191204,,11.63636364,11.15965293,11.83377111
6037195400,-1,5.399524889,5.669931571,5.0955489
6037195100,,2.089973816,8.381752358,7.871444378
6037199400,,8.267981455,8.717968367,9.519915013
6037212610,,9.355793757,8.775561998,9.974830082
6037212620,,23.30913904,11.53705699,13.04855106
6037213100,,8.82378568,7.531191116,8.628567175
6037201501,,5.140479684,6.252367814,7.309379573
6037183701,,23.30063146,9.571738819,9.548200185
6037201602,,9.897157405,9.805865166,10.84438575
6037201401,,8.034111461,7.636685533,8.920002642
6037201503,,9.114329621,8.024933816,9.031796238
6037201402,,9.679613661,8.222344675,9.490020444
6037234700,,9.792511855,8.359231928,12.12921059
6037237202,,7.215081677,13.73427061,17.41391098
6037201700,,15.47210077,8.992749411,12.68882676
6037197200,,9.975899794,10.30132386,11.52487656
6037199900,,8.463126985,7.722761658,9.793595413
6037197300,,8.353700111,8.074692408,7.447999836
6037269903,,6.406805599,5.927963183,5.757852076
6037269904,,6.749619693,5.703259575,5.565410721
6037271802,,5.187157335,5.482410772,5.257753566
6037195901,,21.54545455,11.6278946,10.76639053
6037236400,,4.425,5.384472708,6.040998217
6037194102,,9.798528186,9.86271657,10.5069757
6037294110,,15.5171307,9.374424446,12.85885274
6037294120,,8.519950919,12.43300257,14.32086937
6037120104,,25.90890984,8.356978906,10.32135182
6037189702,,7.998913626,10.47659012,10.34914232
6037209402,,12.17815775,17.38976982,22.0058193
6037209403,,12.17815775,17.38976982,22.0058193
6037209520,,17.90868705,14.02155419,16.546406
6037191410,,19.51650803,15.45020231,14.94002928
6037195903,,14.13227513,21.19568567,18.8415978
6037208401,,17.61111111,18.61197605,20.89095355
6037231900,,8.784641042,8.432116777,10.7724706
6037232800,,12.43653508,6.19359807,9.321510856
6037124000,,3.80860316,4.054850031,4.371311695
